;Nº RM;MÊS;ANO;PRINCÍPIOS DIVINOS;SUNKYO;GOSEIGEN;ENSINAMENTO OSHIENUSHISAMA;ENSINAMENTO SUKUINUSHISAMA;DEPOIMENTOS / RELATOS DE EXPERIÊNCIAS;EXTRAS.1;AGRICULTURA YOKO;MAHIKARI-TAI.1;TORNAR-SE UMA PESSOA QUE RECEBE PROVIDÊNCIAS DE DEUS;VOZ DA FELICIDADE;NO CAMINHO DO AMOR E DA SINCERIDADE;FÓRUM DA CRUZ PARA REFLETIR SOBRE O SÉCULO XXI;ECOA DO TEMPLO MUNDIAL SUZA O SINO DA AURORA DA CIVILIZAÇÃO ESPIRITUALISTA;PRÁTICA DAS NORMAS DE CONDUTA E BOAS MANEIRAS DO KAMI-KUMITE;UM PASSO DE ELEVAÇÃO;A GLÓRIA DE VIVER DEDICANDO-SE NA TERRA SAGRADA;BRILHEM EXERCENDO OS TRÊS PAPÉIS DA EXPANSÃO;RUMO AO NOVO, VERDADEIRO E SAGRADO SÉCULO XXI;RUMO À ECONOMIA ESPIRITUALISTA DO SAGRADO SÉCULO XXI;A RETRIBUIÇÃO A DEUS E A SALVAÇÃO DAS PESSOAS;IMAGEM DA VONTADE CELESTIAL;FONTE DE MILAGRES;SER PRECURSOR NA SALVAÇÃO DO MUNDO, NA ABERTURA DO NOVO E SAGRADO SÉCULO;LUZ DO AMOR;VIDAS QUE BRILHAM COM AL LUZ DE DEUS;SUKUINUSHI-SAMA, OS 100 ANOS DO SEU NASCIMENTO;A FORMAÇÃO DE DEZ MIL PESSOAS DA CIVILIZAÇAO ESPIRITUALISTA;EXTRAS.2;FAZENDA YOKO;DIÁLOGO ENTRE MÃE E FILHO;A FÉ VOLTADA A DEUS E A EDUCAÇÃO DA LEI DA VERDADE;O CAMINHO PARA SE TORNAR SEMENTE DO SAGRADO SÉCULO XXI;CULTIVANDO AS SEMENTES DA PRÓXIMA GERAÇÃO;MAHIKARI-TAI 2
40;241;ABR;2017;NULO; VIVAM COM DEVOÇÃO A DEUS;TORNAI-VOS ALGO DE GRANDE VALOR;"O AVANÇO DA ""GRANDE MURALHA VERDE""                                                             . O significado espiritual das pirâmides e a desertificação da África                                                                                                                             . Inicia-se o projeto Grande Muralha Verde                                                                                                                           . O Grupo de Jovens da Mahikari é pioneiro em atividades de reflorestamento                                                                             1. REGAR O TERRENO                                                                               2. TRANSPORTAR MUDAS                                                                      3. FAZER COVAS                                                                           4. PLANTAR                                                                              . ""Vamos plantar uma árvore hoje!""                                                                         ";NULO;1. MILAGRES DA IMPOSIÇÃO DA MÃO, DA PRÁTICA DO SORRISO E DOS PRINCÍPIOS DIVINOS (Sangita Dhaigude - Mumbaí - Índia)                                                                                                             2. OS MELHORES DIAS DA MINHA VIDA (Luís Katsuharu Nagao - Bragança Paulista - Brasil)                                                                          3. OS ESPELHOS QUE MUDARAM MINHA VIDA (Carmen Elisa Galindo - Caracas - Venezuela)                                                                                           4. MOTIVADA A MUDAR A VIDA POR COMPLETO (Junko Iizuka - Nova Iorque - EUA);"A SUCESSORA DA MISSÃO SAGRADA (Parte 9)                                                                                                               ""A PRÁTICA DOS PRINCÍPIOS DIVINOS É SEU MAIOR TESOURO""";NULO;1. CERIMÔNIA DE INÍCIO DA EQUIPE ESPECIAL  DE SERVIÇOS VOLUNTÁRIOS E O APERTO DE MÃO MILAGROSO (Keisuke Yamagata- Nemuro - Hokkaido - Japão)                                                                                                                       2. LUZ PARA A MINHA MÃE (Valeria Alfaro - Trujillo- Peru);NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;"A SUCESSORA DA MISSÃO SAGRADA (Parte 9)                                                                                                               ""A PRÁTICA DOS PRINCÍPIOS DIVINOS É SEU MAIOR TESOURO""";NULO;NULO;NULO;NULO;NULO;1. CERIMÔNIA DE INÍCIO DA EQUIPE ESPECIAL  DE SERVIÇOS VOLUNTÁRIOS E O APERTO DE MÃO MILAGROSO (Keisuke Yamagata- Nemuro - Hokkaido - Japão)                                                                                                                       2. LUZ PARA A MINHA MÃE (Valeria Alfaro - Trujillo- Peru)
41;242;MAI;2017;NULO;PESSOAS ESPIIRTUALMENTE ELEVADAS;TRANSMITIR, DEMODO SUNAO, AQUILO QUE VEM DESDE A ERA DIVINA;"ABRAM OS OLHOS ESPIRITUAIS                                                                                                       ""A GLÓRIA DE AVANÇAR RUMO À VERDADEIRA FELICIDADE ""                                                                                              (Explicaçao do Livro de Orações do Yokoshi - Parte 91)                                                                                                                    . O significado de paramita                                                                                    HITOMI = PUPILA                                                                         HITOMI = OLHAR PARA AS PESSOAS                                                                                 PARAMITA - ALCANÇAR A OUTRA MARGEM                                                              CONECTADO DIRETAMENTE A DEUS = REGISTRO DIVINO                                                                                                       . A imensurável Luz de Deus SU                                                       LUZ IMENSURÁVEL = MAHIKARI, LUZ VERDADEIRA                                                               . O respeito pela natureza divina do filho de Deus                                                                         . Restaurar o eu verdadeiro                                                                                A VOSSA FÉ VOS SALVARÁ                                               RESIGNAÇÃO  -  AKIRAME                                                                                     DESPERTAR ESPIRITUAL - AKIRAME                                                                                     SATORI = ENTENDER A VERDADE                                                          SATORI = DESPERTAR SOBRE A VERDADE ESPIRITUAL                                                                     SATORI = DIMINUIR A DISTÂNCIA ENTRE DEUS E OS SERES HUMANOS                                                 ";A ARTE MAHIKARI PROVENIENTE DO GRANDE AMOR DIVINO                                                                           . O amor paternal de Deus                                                                                       . Advento do Espírito Divino de YO                                                                                      . Terminou a época da complacência divina;1. A FORMAÇÃO DE UMA SEDE DE GRATIDÃO E RETRIBUIÇÃO (Mitiyo Tajiri - Takarazuka - Kansai - Japão)                                                              2. ORIENTAÇÕES AMOROSAS E ENFÁTICAS PARA DIRIGIR A FÉ A DEUS (Harue Takagi - Oume - Kanto - Japão)                                                                                                  3. ACREDITAR-ME SUPERIOR ERA FONTE DE CONFLITOS (Mirleny Rojas - Caracas - Venezuela);"YOKATTANE!                                                                           BOA SEMENTE DE LUZ                                                                        1. FUI CAPAZ DE ANDAR COM MINHAS PRÓPRIAS FORÇAS (tomomi Miyahara - Kurume - Fukuoka - Japão)                                                                                             2. O CONTATO COM O OSHIENUSHISAMA E A INCRÍVEL MUDANÇA (Toyoko Oishi - Saiki - Oita - Japão)                                                                                     3. O DESAPARECIMENTO DE UMA DOENÇA INCURÁVEL (Nadir Pereira Rebordões - Indaiatuba - Brasil)                                                                                                                         ""A LUZ SE EXPANDE PELO MUNDO"" (Parte 1)                                                                         SEU PAI, O MESTRE YUKEI TESHIMA                ";NULO;1. LIÇÕES DA VIDA PROFISSIONAL PARA O CRESCIMENTO ESPIRITUAL (Anishka Sharma - Londres - Inglaterra - Europa);NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;"YOKATTANE!                                                                           BOA SEMENTE DE LUZ                                                                        1. FUI CAPAZ DE ANDAR COM MINHAS PRÓPRIAS FORÇAS (tomomi Miyahara - Kurume - Fukuoka - Japão)                                                                                             2. O CONTATO COM O OSHIENUSHISAMA E A INCRÍVEL MUDANÇA (Toyoko Oishi - Saiki - Oita - Japão)                                                                                     3. O DESAPARECIMENTO DE UMA DOENÇA INCURÁVEL (Nadir Pereira Rebordões - Indaiatuba - Brasil)                                                                                                                         ""A LUZ SE EXPANDE PELO MUNDO"" (Parte 1)                                                                         SEU PAI, O MESTRE YUKEI TESHIMA                ";NULO;NULO;NULO;NULO;NULO;1. LIÇÕES DA VIDA PROFISSIONAL PARA O CRESCIMENTO ESPIRITUAL (Anishka Sharma - Londres - Inglaterra - Europa)
42;243;JUN;2017;NULO;PROCEDIMENTO PARA MUDAR O SONEN;O PRINCÍPIO DE ESCOLHER DEUS E O TREINAMENTO DE HUMILDADE DE KANNON;"AQUELES QUE ESCUTAM A VOZ DE DEUS                                                                                                            ""A GLÓRIA DE AVANÇAR RUMO À VERDADEIRA FELICIDADE""                                                                             (Explicação do Livro de Orações do Yokoshi - Parte 92)                                                                        . O advento do Miroku Messias - aparecimento do Messias Precursor                                                                                                 MALDADE                                                                                                                            KUZE KANNON                                                                                 3-4-5 (MESSIAS)                                                                                      5-6-7 (MIROKU)                                                                              8-9-10 (REINO DE DEUS)                                                                                   REALIZAÇÃO DO PLANO DE DEUS                                                                                                    GRANDE DEUS SU                                                                                                  LINHAGEM ESPIRITUAL DE SU                                                                                                  . ""Devotai-vosà prática dos princípios divinos""                                                                                                   . Jovens, Deus aguarda pelo vosso crescimento                                                                              OS JOVENS SÃO O TESOURO DA NAÇÃO";UNIR-SE AO SONSN DE DEUS                                                                                                                 . O sonen de participar do Plano de Deus                                                                                        . O importante é como conduzir o sonen                                                                                           . O sonen de ter Deus em primeiro lugar;1. DISTRIBUIR A SEMENTE DE LUZ PARA MULTIPLICAR OS YOKOSHI (Tomiko Ishii - Okayama - Tiyugoku - Japão)                                                                                2. NÃO É QUE FUNCIONA? (Silvio Inglez - São Paulo - Brasil)                                                                                              3. A REALIDADE INCONTESTÁVEL DO CARMA (Victoria de Oliva - San Juan de Miraflores - Peru)                                                                                      4. A MELHORA DA VIZINHANÇA COMEÇA EM MIM (Heidi Hancock - Toronto - Canadá)                                                                                       5. RECUPERAÇÃO DA MÃO PARALISADA (Yumi Nakayama- Fujiidera - Japão);"""A LUZ SE EXPANDE PELO MUNDO"" (Parte 2)                                                                                           O ENCONTRO COM SUKUINUSHISAMA";NULO;1. LIMPAR É SEMPRE BOM! (Daniel Okubo Chagas - Presidente Prudente - Brasil);NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;"""A LUZ SE EXPANDE PELO MUNDO"" (Parte 2)                                                                                           O ENCONTRO COM SUKUINUSHISAMA";NULO;NULO;NULO;NULO;NULO;1. LIMPAR É SEMPRE BOM! (Daniel Okubo Chagas - Presidente Prudente - Brasil)
43;244;JUL;2017;NULO;TENHAIS PENA DE MACULAR O QUANTO VOS PURIFICASTES;ESTAR INFLAMADO PELO GRANDE DESEJO DE ACUMULAR MÉRITOS PERANTE DEUS SU E SEU MENSAGEIRO;"""A GLÓRIA DE AVANÇAR RUMO À VERDADEIRA FELICIDADE""                                                                            (Explicação do Livro de Orações do Yokoshi - Parte 93)                                                                                            . O smilagres serão concedidos sucessivamente                                                                      . Dedicai-vos a serviço de Deus                                                                                                                                   VERDADEIRO SIGNIFICADO DE DEVOÇÃO                                                                                                                                     SER AGRACIADO COM A SEMENTE DA FELICIDADE MESMO SEM ESPERAR                                                                 . Seja uma pessoa-semente com fervoroso amor pela humanidade                                                                                                                                   PROTEÇÃO CONCEDIDA PELOS CÉUS                                                                                                       NOVO E VERDADEIRO ENSINAMENTO PARA A HUMANIDADE                                                                                         AMBIÇÃO GRANDIOSA = AMBIÇÃO JUSTA E CORRETA                                                              AS SEMENTES QUE AMAM A HUMANIDADE                                                                     AMOR = INTENÇÃO CELESTIAL ";OS ENSINAMENTOS UNIVERSAIS E O PRINCÍPIO DA CRUZ TRIDIMENSIONAL                                                                                                                    . O Princípio da Trindade                                        . A unificação com Deus, com os Mestres e com os amigos yokoshi                                                                                                . Promover os princípios universais;1. O ENGENHEIRO QUE TEM COMO NORTE OS ENSINAMENTOS DIVINOS (Shingo Manjo - Hattyobori - Tyugoku - Japão)                                                               2. A PAZ E A ALEGRIA QUE SÓ DEUS PODE CONCEDER (Raimundo Martins da Silva - Goiânia - Brasil)                                                                                  3. O QUE CONTA É O TEMPO DE DEUS (Floria Aragón - Cochabamba - Bolívia)                                                    4. A PRÁTICA DOS ENSINAMENTOS MUDOU O DESFECHO! (Edison Henao - Phoenix - EUA)                                                                         5. EXCELÊNCIA NO ATENDIMENTO AO CLIENTE (Kimie Kuriyama - Asashikawa - Japão)                                                                      6. COMO PAIS, PRECISAMOS CONTINUAR NOS APRIMORANDO (Giovanna Kawasaki - São Paulo - Brasil);"""A LUZ SE EXPANDE PELO MUNDO"" (Parte 3)                                                                                           O LÍDER DO GRUPO DE JOVENS DE TÓQUIO";NULO;1. A SOLUÇÃO ESTAVA EM MIM (Diana Larissa de Morais Chagas Januário - São Lourenço - Brasil);NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;"""A LUZ SE EXPANDE PELO MUNDO"" (Parte 3)                                                                                           O LÍDER DO GRUPO DE JOVENS DE TÓQUIO";NULO;NULO;NULO;NULO;NULO;1. A SOLUÇÃO ESTAVA EM MIM (Diana Larissa de Morais Chagas Januário - São Lourenço - Brasil)
44;245;AGO;2017;NULO;TENHAM A INICIATIVA DE PROMOVER O PRÓPRIO PROGRESSO;TORNEM-SE PESSOAS QUE PODERÃO OBTER O VERDADEIRO BOM E BELO KAN;A GRANDE MUDANÇA PREVISTA NO PLANO DIVINO E O ESPÍRITO DIVINO DE YO                                                                                               . A missão de YO                                                                                                             . O Goshintai de Deus SU                                                                         1. SU KAMUHIKARI                                                                                          2. SU SEIKANNON                                                                                      3. MOTO SU MAHIKARI OOMIKAMI                                                                                                               4. SU MAHIKARI                                                                                                   . Apresse-se em formar as pessoas-sementes                                                                              . O Batismo do Fogo na Grande Mudança prevista no Plano Divino                                                                                                                           KAMU TAMAHI MOE IDE MASSU                                                                             GRANDE MUDANÇA PREVISTA NO PLANO DIVINO = INGRESSO NO PERÍODO DO BATISMO DO FOGO                                                                     . Com bravura, alertem a humanidade sobre as crises que enfrentará;O TREINAMENTO DE MUDAR O SONEN PARA SE ALINHAR AO PLANO DIVINO                                                                      . O importante é o sentimento oculto                                                               . A prática de obedecer a Deus, dizendo sim                                                                                  . Agradecer tudo e qualquer acontecimento na sua totalidade ;1. A CAUSA ESTAVA EM MIM (Tsutomu Yonezawa - Nemuro - Hokkaido - Japão)                                                       2. É SENTIMENTO, NÃO É CAPACIDADE (Marcelo Teixeira dos Santos - Cândido Mota - Cornélio Procópio - Brasil)                                                                                                        3. SERVIÇOS VOLUNTÁRIOS DESENVOLVIDOS PASSO A PASSO (Suman Tulsian - Mumbai - Índia)                                                                                                         4. SERVIR A DEUS EM QUALQUER LUGAR (Ann Drazie - Perth - Austrália);"""A LUZ SE EXPANDE PELO MUNDO"" (Parte 4)                                                                                           POSTULANTE DA PRIMEIRA TURMA";NULO;1. DEUS, ME UTILIZE! (Tadashi Kado - Osaka - Japão);NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;"""A LUZ SE EXPANDE PELO MUNDO"" (Parte 4)                                                                                           POSTULANTE DA PRIMEIRA TURMA";NULO;NULO;NULO;NULO;NULO;1. DEUS, ME UTILIZE! (Tadashi Kado - Osaka - Japão)
45;246;SET;2017;NULO;DEMONSTREM EM ATITUDES A GRATIDÃO A DEUS;"SOIS OS AMADOS ""FILHOS DE DEUS""";"DESPERTEM PARA SUA NATUREZA ESPIRITUAL                                                                                                               ""A GLÓRIA DE AVANÇAR RUMO À VERDADEIRA FELICIDADE ""                                                                                              (Explicação do Livro de Orações do Yokoshi - Parte 94)                                                                                     . Manter o espírito de cooperação harmoniosa                                                                                                                                                   DESPERTAR PARA A NATUREZA ESPIRITUAL                                                                  REALIZAR O PLANO DIVINO                                                       COOPERAÇÃO HARMONIOSA                                                                                      MILHÕES DE MÃOS                                                                                                                . A determinação de servir a Deus                                                                                                   . Torne-se um fruto divino                                                                                                                     PURIFICADO NÍTIDO                                                           FLORES DE DEUS                                                                       FRUTO DE DEUS                                              . A purificação da alma                                                                                                      . Aceitar prontamente o fortalecimento de Deus ";"MANIFESTEM A FORÇA ORIGINAL DO FILHO DE DEUS                                                                                                 . A humanidade está prestes a ingressar num inédito estado de emergência                                                                                 . A determinação dos yokoshi para avançar rumo à civilização espiritualista                                                                           . O sonen de ""Se fizer, conseguirei!""                                                        ";1. QUARENTA ANOS CONCILIANDO TRABALHO COM DEDICAÇÃO A DEUS (Takashi Morishima - Hiratsuka - kanto - Japão)                                                                                                                                    2. TUDO ESTAVA SENDO PREPARADO (Rejane Manenti Lopes - Goiânia - Brasi)                                                                                  3. SENTI NA PELE AS LEIS UNIVERSAIS (Saturnino Caycho - Lima - Peru)                                                               4. EM VEZ DE RECLAMAR, AGIR! (Víctor Peña (Upata - Venezuela)                                                                                    5. UM PRESENTE PODEROSO (Aila Parkinson - Auckland - Nova Zelândia)                                                                                     6. COLO MILAGROSO (Miyako Kudo _ Hirosaki - Aomori - Japão);"""A LUZ SE EXPANDE PELO MUNDO"" (Parte 5)                                                                                           O JOVEM ORIENTADOR";NULO;1. amorosas providências (Heloisa do Prado Rosa Pereira Lima - Maringá- Brasil);NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;"""A LUZ SE EXPANDE PELO MUNDO"" (Parte 5)                                                                                           O JOVEM ORIENTADOR";NULO;NULO;NULO;NULO;NULO;1. amorosas providências (Heloisa do Prado Rosa Pereira Lima - Maringá- Brasil)
46;247;OUT;2017;NULO;O CONTATO COM A LUZ DE DEUS;"PARA ESTA ÉPOCA, SIM, ""ARREPENDEI E CORRIGI-VOS"" É IMPORTANTE";"SEREIS SALVOS                                                          NATUREZA ESPIRITUAL                                                                                                               ""A GLÓRIA DE AVANÇAR RUMO À VERDADEIRA FELICIDADE ""                                                                                              (Explicação do Livro de Orações do Yokoshi - Parte 95)                                                                   . Harmonia - principio fundamental da criação dos Céus e da Terra                                                                                                                                                          . A arte da humildade de coração com sentimento harmonioso                                                                                                                                      MA - DIVINO TRABALHO DE MA                                                            RU - ROTAÇÃO TANTO NO SENTIDO HORÁRIO COMO NO ANTI-HORÁRIO                                                                                 HI = FOGO                                                             MIZU= ÁGUA                                                                                          GRANDE CÍRCULO DE HARMONIA                                                                                . Preserverem e pratiquem a Arte Mahikari e os princípios divinos                                                                              . A cooperação harmoniosa entre Deus, Mestres e amigos yokoshi                                                                                       . O plano dos deuses Miroku                                                       . Sejam os verdadeiros frutos eternos                                                                                                  . yuokoshi, repicai o sino da Verdade                                                                                       CANÇÃO TRIUNFAL PARA A FELICIDADE       ";COMO CONHECER O FUTURO DA HUMANIDADE                                                                                                    . Sucessos e fracassos da ciência humana                                                                      . A verdadeira natureza da poluição                                                                   . Alinhem-se ao Plano de Deus;"1. VER A EXISTÊNCIA DO MUNDO ESPIRITUAL ME LEVOU A PRATICAR OS DEZ ITENS (Yoshiyuki Sakaguchi - Nagoya-nishi - Tyukyo - Japão)                                                                              2. DO TENDÃO DE AQUILES PARA O SALTO ESPIRITUAL (Sonia Rodriguez - Bogotá - Colômbia)                                                                   3. A RODA QUE FALTAVA PARA AVANÇAR (Jesús Martin Ramírez Godoy - San Martin de Porres - Peru) MTai                                                                                                           4. ""A MAHIKARI DEVE SER ALGO MUITO BOM!"" (Eduarda de Principe - San Martin de Porres - Peru)                                                                              5. COLIDI FRONTALMENTE COM UM CAMINHÃO (Mitsuko Obata - Tsukuba - Japão)                                                                                 6. NO MOMENTO EM QUE PROFERI A ORAÇÃO AMATSU NORIGOTO (Satya Deve-Thaper - Adelaide - Austrália)                                                                   7. GRATIDÃO SEM AUTOLIMITAÇÃO (Vilma de Quispe - Lima - Peru) mtAI                                                                                  8. LIMPAR TAMBÉM É APRENDER (Tessy Bardales - Lima - Peru)";"""A LUZ SE EXPANDE PELO MUNDO"" (Parte 6)                                                                                           O INSTRUTOR DO CENTRO DE FORMAÇÃO DE DIRIGENTES";NULO;1. PRÁTICA DA IMPOSIÇÃO DA MÃOPOR MIL DIAS (Yuto Hanada - Moriguchi - Osaka - Japã);NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;"""A LUZ SE EXPANDE PELO MUNDO"" (Parte 6)                                                                                           O INSTRUTOR DO CENTRO DE FORMAÇÃO DE DIRIGENTES";NULO;NULO;NULO;NULO;NULO;1. PRÁTICA DA IMPOSIÇÃO DA MÃOPOR MIL DIAS (Yuto Hanada - Moriguchi - Osaka - Japã)
47;248;NOV;2017;NULO;CERIMÔNIAS DIVINAS MAGNÂNIMAS E SUA RELAÇÃO COM A EXPANSÃO;DESENVOLVIMENTO DOS DEUSES;COM FORÇA ESPIRITUAL SEISHUSAMA REALIZA A ARTE DA SALVAÇÃO DO MUNDO                                                                                                 . A primeira discípula                                                             . Dedicação exclusiva aos serviços divinos                                                           . A sucessão à segunda Oshienushi e a missão de criar o molde espiritual do reino de Deus                                                                     . Sucessão da linhagem espiritual da Luz do segundo ao terceiro Oshienushi                                                                   . Avancem com vigor no caminho da salvação do mundo!                                                               ESFORÇO DILIGENTE E PERSEVERANÇA;A LEITURA DOS LIVROS SAGRADOS E A ILUMINAÇÃO ESPIRITUAL PARA SE TORNAREM SEMENTES                                                                                           . O outono dos yokoshi                                                  . Façam uma leitura profunda dos livros sagrados                                                                                      . Acolham uma animada primavera;1. APÓS SUPERAR ONDAS E NÓS, DESFRUTO DA ALEGRIA DA SALVAÇÃO DO PRÓXIMO (Michiyo Nishikawa - Gunma - Kanto - Japão)                                              2. A LUZ REESCREVE A HISTÓRIA (ivonna Stojanovic - São Paulo - Brasil)                                                                                               3. PRÁTICAS QUE MUDAM O DESTINO (Vanessa Vera de Diaz - Trujillo - Peru)                                                                            4. LIVREI-ME DE UM VÍCIO ANTIGO (Lai Cheng Chiu - Singapura)                                                                                      5. ABENÇOADOS COM O SEGUNDO FILHO - (Dhaval Thakkar - Melbourne - Austrália)                                                                           6. INCENTIVADO POR DEUS NOS BASTIDORES (Tamotsu Otaku - Niigata - Japão);"""A LUZ SE EXPANDE PELO MUNDO"" (Parte 7)                                                                                           ACONCLUSÃO DO SUZA E O PÁSSARO DA FELICITAÇÃO";NULO;1. A PRÁTICA DOS PRINCÍPIOS DIVINOS TRANSFORMOU A EMPRESA (Haruaki Mori - Kitakyushu - Fukuoka - Japão);NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;"""A LUZ SE EXPANDE PELO MUNDO"" (Parte 7)                                                                                           ACONCLUSÃO DO SUZA E O PÁSSARO DA FELICITAÇÃO";NULO;NULO;NULO;NULO;NULO;1. A PRÁTICA DOS PRINCÍPIOS DIVINOS TRANSFORMOU A EMPRESA (Haruaki Mori - Kitakyushu - Fukuoka - Japão)
48;249;DEZ;2017;NULO;"""DEUS AGUARDA QUE VOSSOS ESPÍRITOS CRESÇAM""";"OCORRENDO A ""ERA DO AGAKI""";O SIGNIFICADO ESPIRITUAL DO REVIGORAMENTO DIVINO                                                                                                                                                                   . Revigoramento Divino                                                                                             . A purificação só se dá através da raspagem das impurezas espirituais                                                                       . A realidade do grande mundo espiritual e a espiritualização do filho de Deus                                                                                        REALIDADE DO GRANDE MUNDO ESPIRITUAL                                                                                                                              .O significado espiritual de revigoramento divino                                                                                              O REVIGORAMENTO DIVINO E O REVIGORAMENTO HUMANO                                                                          A VERDADEIRA LIBERDADE                                                                                                               . O revigoramento divino se obtém ao receber a Luz da Verdade                                                                                               CRIAR UM MUNDO DE HARMONIA NASCIDA DO AMOR                                                                        ;TER UMA VIDA SIGNIFICATIVA                                                                                        . A relação entre purificação espiritual e desígnios dos céus e predestinação                                                                                                                                                     . Este mundo é o campo de treinamento do espírito e do sonen                                                                                             . O importante e a elevação espiritual;1. MILAGRE NA GRANDE CATÁSTROFE ( Kaori Nishiwaki - Hyogo - Kansai - Japão)                                                             2. OS FORTES EFEITOS DA LUZ DIVINA (Roseli do Bom Parto Silveira Santos - Belém - Brasil)                                                                  3. AOPORTUNIDADE DO PERDÃO (Yénida de Zanoletty - Caracas - Venezuela)                                                                                                    4. O PASSO QUE FALTAVA PARA RENASCER (Laura Viuda de Quezada  Quito - Equador)                                                                                                         5. A GRATIDÃO DO MEU AMIGO E A MELHORA DO MEU PAI (Stephanie Lau - Melbourne - Autrália);"""A LUZ SE EXPANDE PELO MUNDO"" (Parte 8)                                                                                           A SUCESSÃO DA LINHAGEM ESPIRITUAL DA LUZ";NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;1. FAZER DO MOMENTO CRPITICO UMA OPORTUNIDADE (Rocio Estrada - Trujillo - Peru);NULO;"""A LUZ SE EXPANDE PELO MUNDO"" (Parte 8)                                                                                           A SUCESSÃO DA LINHAGEM ESPIRITUAL DA LUZ";NULO;NULO;NULO;NULO;NULO;NULO
49;226;JAN;2016;NULO;ELIMINANDO A DISTÂNCIA ENTRE O HOMEM E DEUS;ÉPOCA DA GRANDE LIMPEZA NA TERRA;CUMPRIR A MISSÃO DE LINHA DE FRENTE DA REVOLUÇÃO AMBIENTAL A PARTIR DA CAPITAL DIVINA DA TERRA DE HIDAMA                                                                     . Almejar um novo Jardim do Éden                                                                           CIVILIZAÇÃO DA CRUZ                                                                             LEIS - REGRAS ESTABELECIDAS POR DEUS                             CONSTRUÇÃO DE UMA SOCIEDADE SUSTENTÁVEL                                                               RETORNO À ORIGEM                                                                                      PROJETO DA GRANDE MURALHA VERDE                                                                              . Concretizando o molde espiritual do reino de Deus na capital divina da Terra de Hidama;NULO;1. TENDO SUKUINUSHISAMA COMO EXEMPLO, GOSTARIA DE FORMAR JOVENS NA MEDICINA ESPIRITUALISTA (sonali Prashant Chonkar - Singapura);BIOGRAFIA DO MESTRE KOTAMA  OKADA (Parte 12)                                                                                               EM MEIO À DÚVIDA;1. O VERDE DIRECIONOU MINHA VIDA (José Augusto Reyes Pérez - México);"REPORTAGEM                                                              GRUPO DE JOVENS DA ÁFRICA                                               ALUZ DA ESPERANÇA RESPLANDECE NO DESERTO                                                                           Atividade de Reflortestamento ""Grande Muralha Verde""                                                                                           . Atividades no Senegal                                                                                                                                              . Atividade de reflorestamento ""Grande Muralha Verde""                                                               . As atividades de proteção ambiental em cada país                                                          . O ressurgimento do verde e da vida                                                                                         . Fazendo o sentimento das pessoas vicejar                                                                                  . A educação espiritualista que o mundo deseja                                                                                    MAPA DO REFLORESTAMENTO                                        SETOR DA ÁFRICA                                                     1. Senegal                                            2. Mali                                                                                           3. Burkina-Fasso                                                                                     4. Guiné                                                                                    5. Costa do Marfim                                                                                                 6. Benin                                                                              7. Angola                                                                                     8. República Democrática do Congo                                                                            9. República do Congo                                                                                                                                      SEMINÁRIO DE GRAU SUPERIOR                         Sede de Grau Superior de São Paulo - Brasil";CONCLUSÃO DO TRABALHO PROFISSIONAL CENTRADO NA FÉ DIRIGIDA A DEUS;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO;NULO
